RelatÃ³rio de Desempenho do Servidor
===========================================================
Timestamp, CPU Usage (%), Memory Usage (KB)
2025-02-17 13:17:07, 4.27136, 15473304
2025-02-17 13:17:08, 7.57576, 15460692
2025-02-17 13:17:09, 4.01003, 15474716
2025-02-17 13:17:10, 3.01508, 15476228
2025-02-17 13:17:11, 0.75, 15476480
2025-02-17 13:17:12, 4.0404, 15476732
2025-02-17 13:17:13, 2.5, 15475976
2025-02-17 13:17:14, 3.5, 15457388
2025-02-17 13:17:15, 4.51128, 15450484
2025-02-17 13:17:16, 1.75439, 15452244
2025-02-17 13:17:17, 3.27456, 15452244
2025-02-17 13:17:18, 7.32323, 15489732
2025-02-17 13:17:19, 3.5443, 15491244
2025-02-17 13:17:20, 6.04534, 15492000
2025-02-17 13:17:21, 3.01508, 15490488
2025-02-17 13:17:22, 4.0201, 15490992
2025-02-17 13:17:23, 2.02532, 15473148
2025-02-17 13:17:24, 3.2419, 15473400
2025-02-17 13:17:€ÌG}ÿ25, 1.0101, 15488052
2025-02-17 13:17:26, 5, 15452460
2025-02-17 13:17:27, 4.01003, 15452712
2025-02-17 13:17:28, 8.02005, 15440308
2025-02-17 13:17:29, 2.49377, 15441264
2025-02-17 13:17:30, 1.25628, 15443280
2025-02-17 13:17:31, 4.0404, 15485536
2025-02-17 13:17:32, 3.01508, 15485480
2025-02-17 13:17:33, 3.75, 15469676
2025-02-17 13:17:34, 1.75439, 15469928
2025-02-17 13:17:35, 1.50754, 15470932
2025-02-17 13:17:36, 2.0202, 15485264
2025-02-17 13:17:37, 8.62944, 15485852
2025-02-17 13:17:38, 6.83544, 15463140
2025-02-17 13:17:39, 3.25815, 15465152
2025-02-17 13:17:40, 0.501253, 15465152
2025-02-17 13:17:41, 1.25945, 15465908
2025-02-17 13:17:42, 23.25, 15557428
2025-02-17 13:17:43, 44.8363, 15660184
2025-02-17 13:17:44, 25.3133, 15672700
2025-02-17 13:17:45, 11.5869, 15792352
2025-02-17 13:17:46, 25.75, 15929012
2025-02-17 13:17:47, 25.2525, 15961136
2025-02-17 13:17:48, 35.6962, 15845772
2025-02-17 13:17:49, 3.74065, 15846288
2025-02-17 13:17:50, 0.75188, 15846288
2025-02-17 13:17:51, 1.25628, 15846540
202€ÌG}ÿ5-02-17 13:17:52, 1.24688, 15846540
2025-02-17 13:17:53, 9.11392, 15837812
2025-02-17 13:17:54, 2.00501, 15837812
2025-02-17 13:17:55, 2.25564, 15837812
2025-02-17 13:17:56, 1.24378, 15837812
2025-02-17 13:17:57, 1.51134, 15837812
2025-02-17 13:17:58, 12.7551, 15860388
2025-02-17 13:17:59, 3.74065, 15834076
2025-02-17 13:18:00, 1.24069, 15834076
2025-02-17 13:18:01, 1.50376, 15835084
2025-02-17 13:18:02, 0.997506, 15835336
2025-02-17 13:18:03, 6.78392, 15862032
2025-02-17 13:18:04, 4.26065, 15862228
2025-02-17 13:18:05, 1.75, 15862228
2025-02-17 13:18:06, 0.250627, 15862228
2025-02-17 13:18:07, 1.50754, 15862228
2025-02-17 13:18:08, 4.54545, 15861976
2025-02-17 13:18:09, 10.4061, 15809876
2025-02-17 13:18:10, 2.76382, 15810100
2025-02-17 13:18:11, 1.74564, 15811360
2025-02-17 13:18:12, 0.502513, 15811360
2025-02-17 13:18:13, 5.77889, 15816144
2025-02-17 13:18:14, 4.25, 15828408
2025-02-17 13:18:15, 3.25, 15829984
2025-02-17 13:18:16, 0.501253, 15829984
2025-02-17 13:18:17, 1.75, 15829984
2025-02-17 13:18:18, €ÌG}ÿ4.0201, 15829984
2025-02-17 13:18:19, 7.30479, 15840892
2025-02-17 13:18:20, 4.0404, 15834412
2025-02-17 13:18:21, 1.99005, 15834104
2025-02-17 13:18:22, 0, 15834104
2025-02-17 13:18:23, 5.25, 15836372
2025-02-17 13:18:24, 1.25628, 15836372
2025-02-17 13:18:25, 5.26316, 15843152
2025-02-17 13:18:26, 1.25, 15823756
2025-02-17 13:18:27, 0.5, 15823756
2025-02-17 13:18:28, 5.47264, 15825772
2025-02-17 13:18:29, 6.07595, 15846552
2025-02-17 13:18:30, 2.51256, 15871372
2025-02-17 13:18:31, 3.25, 15826316
2025-02-17 13:18:32, 1.75439, 15828576
2025-02-17 13:18:33, 3.00752, 15828576
2025-02-17 13:18:34, 1.50376, 15828576
2025-02-17 13:18:35, 1.00503, 15828576
2025-02-17 13:18:36, 5.03778, 15858024
2025-02-17 13:18:37, 3.25, 15858024
2025-02-17 13:18:38, 4.53401, 15858528
2025-02-17 13:18:39, 4.78589, 15853656
2025-02-17 13:18:40, 2.51256, 15854216
2025-02-17 13:18:41, 2.26131, 15852332
2025-02-17 13:18:42, 3.5, 15853204
2025-02-17 13:18:43, 3, 15853704
2025-02-17 13:18:44, 1.50376, 15853704
2025-02-17 13:18:45, 1.256€ÌG}ÿ28, 15853704
2025-02-17 13:18:46, 1.50754, 15854208
2025-02-17 13:18:47, 4.51128, 15860656
2025-02-17 13:18:48, 4.51128, 15860908
2025-02-17 13:18:49, 6.03015, 15836656
2025-02-17 13:18:50, 2.02532, 15837380
2025-02-17 13:18:51, 0.250627, 15837380
2025-02-17 13:18:52, 4.51128, 15835764
2025-02-17 13:18:53, 4.01003, 15836436
2025-02-17 13:18:54, 1.75439, 15836436
2025-02-17 13:18:55, 1.50376, 15836688
2025-02-17 13:18:56, 1.99501, 15837444
2025-02-17 13:18:57, 0.251256, 15837444
2025-02-17 13:18:58, 8.54271, 15842948
2025-02-17 13:18:59, 4.0201, 15829628
2025-02-17 13:19:00, 4.28212, 15854952
2025-02-17 13:19:01, 0.250627, 15854952
2025-02-17 13:19:02, 1.25628, 15855456
2025-02-17 13:19:03, 6.73317, 15843228
2025-02-17 13:19:04, 1.74564, 15844488
2025-02-17 13:19:05, 1.50376, 15844488
2025-02-17 13:19:06, 1.75, 15844488
2025-02-17 13:19:07, 0, 15844488
2025-02-17 13:19:08, 6.75, 15851460
2025-02-17 13:19:09, 2.51256, 15826696
2025-02-17 13:19:10, 7.08861, 15856368
2025-02-17 13:19:11, 0.74813, 15856368
2025-02€ÌG}ÿ-17 13:19:12, 1.99501, 15856368
2025-02-17 13:19:13, 2.76382, 15856616
2025-02-17 13:19:14, 5.76441, 15848140
2025-02-17 13:19:15, 1.50376, 15848392
2025-02-17 13:19:16, 1.25313, 15849148
2025-02-17 13:19:17, 0.501253, 15849148
2025-02-17 13:19:18, 4.28212, 15849148
2025-02-17 13:19:19, 2.26131, 15848480
2025-02-17 13:19:20, 9.36709, 15845812
2025-02-17 13:19:21, 0.74813, 15845812
2025-02-17 13:19:22, 0, 15845812
2025-02-17 13:19:23, 1.75439, 15845812
2025-02-17 13:19:24, 2.25564, 15846064
2025-02-17 13:19:25, 6.53266, 15824428
2025-02-17 13:19:26, 0.74813, 15824428
2025-02-17 13:19:27, 1.50376, 15825936
2025-02-17 13:19:28, 1.25, 15825936
2025-02-17 13:19:29, 4.25, 15826440
2025-02-17 13:19:30, 10.1266, 15853124
2025-02-17 13:19:31, 1.50376, 15853624
2025-02-17 13:19:32, 0.501253, 15853624
2025-02-17 13:19:33, 1.50376, 15854128
2025-02-17 13:19:34, 3, 15854128
2025-02-17 13:19:35, 4.25, 15871608
2025-02-17 13:19:36, 2.76382, 15842140
2025-02-17 13:19:37, 4.73815, 15822820
2025-02-17 13:19:38, 1.49626, 158235€ÌG}ÿ72
2025-02-17 13:19:39, 3.51759, 15824832
2025-02-17 13:19:40, 7.03518, 15841716
2025-02-17 13:19:41, 5.98504, 15838420
2025-02-17 13:19:42, 0.75188, 15838420
2025-02-17 13:19:43, 1.00756, 15820644
2025-02-17 13:19:44, 2.75689, 15820896
2025-02-17 13:19:45, 2.51256, 15821652
2025-02-17 13:19:46, 2.26131, 15832280
2025-02-17 13:19:47, 3.73134, 15814952
2025-02-17 13:19:48, 0.503778, 15815956
2025-02-17 13:19:49, 4.51128, 15817972
2025-02-17 13:19:50, 6.04534, 15829176
2025-02-17 13:19:51, 1.25628, 15832192
2025-02-17 13:19:52, 4.0201, 15836756
2025-02-17 13:19:53, 1.25628, 15838012
